"id","pid","tstamp","title","alias","author","addTime","startTime","endTime","startDate","endDate","pageTitle","description","location","address","teaser","addImage","overwriteMeta","singleSRC","alt","imageTitle","size","imagemargin","imageUrl","fullsize","caption","floating","recurring","repeatEach","repeatEnd","recurrences","addEnclosure","enclosure","source","jumpTo","articleId","url","target","cssClass","noComments","published","start","stop","exceptionList","allRecurrences","repeatExceptionsPer","repeatExceptionsInt","repeatExceptions","repeatEachExt","location_mail","location_contact","location_link","location_ort","location_plz","location_str","location_name","recurringExt","hideOnWeekend","weekday","showOnFreeDay","useExceptions","ignoreEndTime","repeatFixedDates","repeatWeekday","disable_editing","fe_user","unsubscribeLimitTstamp","unsubscribeLimit","enableDeregistration","eventBookingNotificationSender","eventBookingNotificationCenterIds","enableNotificationCenter","includeEscortsWhenCalculatingRegCount","maxEscortsPerMember","maxMembers","minMembers","bookingEndDate","bookingStartDate","enableMultiBookingWithSameAddress","addBookingForm","city","postal","street","featured","robots","reg_requireConfirm","reg_cancelEnd","reg_regEnd","reg_max","reg_min","reg_form","reg_enable","reg_waitingListAdvancementNotification","reg_enableWaitingList","price"
"179","2","1415314800","Eckhard","eckhard-179","0","1","1415386800","1415399400","1415314800","1415314800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"180","2","1405029600","Eckhard + Schorsch","eckhard-schorsch","0","1","1405101600","1405114200","1405029600","1405029600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"187","2","1418806534","Thomas Breuler - Eckhard Becker","thomas-breuler-eckhard-becker","20","1","1419015600","1419029940","1418943600","1418943600",,NULL,,,"<p>Thekendienst</p>
<p>Es gibt leckere DUC Burger.</p>",,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"191","2","1428616800","Thomas und Uli","eckhard-191","0","1","1428688800","1428701400","1428616800","1428616800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"192","2","1424386800","Jürgen","juergen-192","0","1","1424458800","1424469600","1424386800","1424386800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"193","2","1424991600","Thomas und Gerd","thomas-und-gerd","0","1","1425063600","1425074400","1424991600","1424991600",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"196","2","1429826400","Jürgen und Gerd","juergen-und-gerd","0","1","1429898400","1429909200","1429826400","1429826400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"197","2","1431640800","Thomas und Jürgen","thomas-und-juergen","0","1","1431712800","1431723600","1431640800","1431640800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"198","2","1434060000","Jürgen","juergen-198","0","1","1434132000","1434142800","1434060000","1434060000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"199","2","1437084000","Manfred und Eckhard","juergen-199","0","1","1437156000","1437166800","1437084000","1437084000",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"201","2","1435874400","Heinerfest- geschlossen","heinerfest","0","1","1435946400","1435957200","1435874400","1435874400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"202","2","1438898400","Jürgen und Thomas","juergen-202","0","1","1438970400","1438981200","1438898400","1438898400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"203","2","1440712800","Eckhard","eckhard-203","0","1","1440784800","1440795600","1440712800","1440712800",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"204","2","1442527200","Jürgen","juergen-204","0","1","1442599200","1442610000","1442527200","1442527200",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
"205","2","1444946400","Thomas und Julia","juergen-205","0","1","1445018400","1445029200","1444946400","1444946400",,NULL,,,,,,NULL,,,,,,,,"above",,,"0","0",,NULL,"default","0","0",,,,,"1",,,NULL,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,NULL,,,"0",NULL,"0",,"0",NULL,,,"0","0","0",NULL,NULL,,,,,,,,"0",NULL,NULL,NULL,NULL,"0","0","0","0",NULL
