pid;tstamp;title;author;addTime;startTime;endTime;startDate;endDate;pageTitle;description;location;address;teaser;addImage;overwriteMeta;singleSRC;alt;imageTitle;size;imagemargin;imageUrl;fullsize;caption;floating;recurring;repeatEach;recurrences;addEnclosure;enclosure;source;url;target;cssClass;noComments;published;start;stop;exceptionList;allRecurrences;repeatExceptionsPer;repeatExceptionsInt;repeatExceptions;repeatEachExt;location_mail;location_contact;location_link;location_ort;location_plz;location_str;location_name;recurringExt;hideOnWeekend;weekday;showOnFreeDay;useExceptions;ignoreEndTime;repeatFixedDates;repeatWeekday;disable_editing;unsubscribeLimitTstamp;unsubscribeLimit;enableDeregistration;eventBookingNotificationSender;eventBookingNotificationCenterIds;enableNotificationCenter;includeEscortsWhenCalculatingRegCount;maxEscortsPerMember;maxMembers;minMembers;bookingEndDate;bookingStartDate;enableMultiBookingWithSameAddress;addBookingForm;city;postal;street;featured;robots;reg_requireConfirm;reg_cancelEnd;reg_regEnd;reg_max;reg_min;reg_form;reg_enable;reg_waitingListAdvancementNotification;reg_enableWaitingList;price
2;1432850400;"Georg und Eckhard";0;1;20:00;23:30;29.05.2015;29.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1429221600;Manfred;0;1;20:00;23:00;17.04.2015;17.04.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1431036000;"Michael + Michael";0;1;20:00;23:00;08.05.2015;08.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1431036000;"Michael + Michael";0;1;20:00;23:00;08.05.2015;08.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1432245600;Manfred;0;1;20:00;23:00;22.05.2015;22.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1430431200;"Feiertag- geschlossen";0;1;20:00;23:00;01.05.2015;01.05.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1434664800;Manfred;0;1;20:00;23:00;19.06.2015;19.06.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1440108000;Manfred;0;1;20:00;23:00;21.08.2015;21.08.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1443132000;"Manfred + Friederike";0;1;20:00;23:00;25.09.2015;25.09.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1445551200;"Manfred ? + Gerd";0;1;20:00;23:00;23.10.2015;23.10.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1447974000;"Manfred und Thomas";0;1;20:00;23:00;20.11.2015;20.11.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
2;1450393200;"Manfred ? + Friederike";0;1;20:00;23:00;18.12.2015;18.12.2015;;;;;;;;;;;;;;;;above;;;0;;;default;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;0;0;0;;;;;;;;;;0;;;;;0;0;0;0;
